iter	Passed	Remaining
0	74	14119
1	141	13318
2	206	12857
3	317	14742
4	388	14392
5	448	13764
6	506	13229
7	573	13037
8	632	12711
9	710	12780
10	755	12298
11	832	12354
12	913	12443
13	988	12425
14	1047	12224
15	1128	12271
16	1207	12284
17	1280	12235
18	1337	12040
19	1424	12106
20	1484	11945
21	1589	12136
22	1646	11955
23	1794	12411
24	1878	12395
25	1960	12366
26	2026	12231
27	2106	12185
28	2203	12233
29	2291	12222
30	2360	12107
31	2428	11990
32	2520	11991
33	2611	11984
34	2716	12031
35	2794	11954
36	2852	11794
37	2938	11753
38	3019	11689
39	3077	11540
40	3161	11489
41	3218	11342
42	3282	11222
43	3351	11119
44	3416	11009
45	3473	10874
46	3532	10747
47	3602	10656
48	3659	10530
49	3729	10441
50	3776	10293
51	3851	10220
52	3919	10132
53	3980	10025
54	4046	9932
55	4111	9838
56	4174	9740
57	4241	9653
58	4322	9598
59	4380	9491
60	4443	9396
61	4505	9301
62	4570	9213
63	4627	9110
64	4695	9029
65	4766	8956
66	4845	8895
67	4901	8793
68	4961	8700
69	5026	8617
70	5096	8542
71	5161	8459
72	5220	8366
73	5293	8297
74	5360	8219
75	5422	8134
76	5495	8064
77	5549	7968
78	5614	7889
79	5677	7806
80	5754	7744
81	5819	7664
82	5883	7585
83	5958	7519
84	6028	7446
85	6092	7367
86	6167	7301
87	6230	7221
88	6289	7137
89	6355	7061
90	6416	6980
91	6483	6906
92	6555	6837
93	6654	6795
94	6722	6722
95	6782	6641
96	6858	6575
97	6922	6498
98	6984	6419
99	7050	6345
100	7124	6278
101	7190	6203
102	7260	6132
103	7324	6056
104	7546	6109
105	7609	6030
106	7682	5959
107	7808	5928
108	7892	5865
109	7991	5812
110	8050	5729
111	8119	5654
112	8181	5575
113	8244	5496
114	8318	5424
115	8390	5352
116	8453	5274
117	8520	5198
118	8580	5119
119	8642	5041
120	8702	4962
121	8762	4883
122	8831	4810
123	8912	4743
124	8977	4668
125	9050	4596
126	9153	4540
127	9215	4463
128	9272	4384
129	9335	4308
130	9395	4231
131	9478	4164
132	9540	4088
133	9601	4012
134	9699	3951
135	9790	3887
136	9881	3822
137	9948	3748
138	10005	3671
139	10073	3597
140	10150	3527
141	10624	3591
142	10817	3555
143	10908	3484
144	11050	3429
145	11241	3387
146	11582	3387
147	11948	3390
148	13195	3630
149	13352	3560
150	13507	3488
151	13586	3396
152	13648	3300
153	13716	3206
154	13780	3111
155	13853	3019
156	13919	2925
157	13983	2832
158	14078	2744
159	14191	2660
160	14263	2569
161	14367	2483
162	14473	2397
163	14547	2306
164	14618	2214
165	14675	2121
166	14734	2029
167	14789	1936
168	14845	1844
169	14905	1753
170	14963	1662
171	15025	1572
172	15090	1482
173	15165	1394
174	15224	1304
175	15281	1215
176	15349	1127
177	15411	1038
178	15587	957
179	15759	875
180	16883	839
181	16969	745
182	17046	652
183	17125	558
184	17182	464
185	17237	370
186	17297	277
187	17355	184
188	17420	92
189	17491	0
