iter	R2	RMSE
93	0.467991372	18846.23548
94	0.4706654235	18798.81211
95	0.4903352933	18446.2273
96	0.4904147091	18444.7901
97	0.4906825557	18439.94202
98	0.4908878179	18436.22586
99	0.4996303172	18277.24652
100	0.4997514083	18275.03481
101	0.5176192913	17945.6933
102	0.5178543365	17941.32065
103	0.5179360025	17939.80113
104	0.5181439676	17935.93105
105	0.5190073998	17919.85425
106	0.5289182531	17734.27399
107	0.5453374077	17422.4765
108	0.5542931255	17250.03346
109	0.5624038547	17092.35953
110	0.5626502143	17087.54749
111	0.5627365676	17085.86047
112	0.5627898205	17084.82002
113	0.5628521485	17083.60218
114	0.5638922049	17063.26754
115	0.5712159268	16919.38599
116	0.5779054385	16786.88649
117	0.5847565916	16650.09244
118	0.5907177247	16530.14808
119	0.5968787231	16405.26069
120	0.6138867825	16055.45471
121	0.6193449721	15941.56891
122	0.6194049757	15940.31241
123	0.6198362518	15931.27836
124	0.6280424911	15758.39349
125	0.6329418645	15654.26576
126	0.6375403421	15555.89896
127	0.6419816728	15460.29958
128	0.64600734	15373.13369
129	0.646146713	15370.10706
130	0.646923097	15353.23615
131	0.6520570422	15241.20488
132	0.6542463674	15193.17889
133	0.6590021883	15088.32644
134	0.6630631144	14998.21428
135	0.6633226752	14992.4362
136	0.6659208104	14934.47593
137	0.6664789596	14921.99513
138	0.666744529	14916.05306
139	0.6695125633	14853.9772
140	0.6731687249	14771.58438
141	0.676720134	14691.10979
142	0.6800385996	14615.51322
143	0.6802493012	14610.70011
144	0.6806652927	14601.19285
145	0.6836744984	14532.23386
146	0.6960954626	14244.0624
147	0.696446012	14235.84488
148	0.6988276657	14179.88841
149	0.710023015	13913.84114
150	0.7103224199	13906.65618
151	0.713052067	13840.97951
152	0.7133760172	13833.16441
153	0.7237903014	13579.52996
154	0.7242414432	13568.43549
155	0.7267133256	13507.4853
156	0.7289548133	13451.97728
157	0.7381319992	13222.28433
158	0.738403248	13215.43458
159	0.7425086188	13111.32625
160	0.7519653689	12868.30769
161	0.7529578641	12842.53601
162	0.7557859567	12768.81493
163	0.7642316665	12546.07884
164	0.771050872	12363.31038
165	0.7731081971	12307.637
166	0.7733358171	12301.46188
167	0.7736425776	12293.13484
168	0.7739403554	12285.04625
169	0.7759782331	12229.5474
170	0.7761969883	12223.57492
171	0.7764363334	12217.03695
172	0.7765069234	12215.10804
173	0.7769923618	12201.83491
174	0.7792258614	12140.57832
175	0.7841281284	12005.0315
176	0.7859770904	11953.50885
177	0.7864084648	11941.45631
178	0.7924399793	11771.64423
179	0.796523348	11655.27613
180	0.7973799521	11630.71683
181	0.8000159294	11554.81449
182	0.8005910724	11538.18703
183	0.8007996573	11532.15089
184	0.803192227	11462.68608
185	0.8032858037	11459.96066
186	0.8034691797	11454.61796
187	0.8036429838	11449.55183
188	0.8084427428	11308.74941
189	0.8101243331	11259.00292
