listing_id,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num
652527,Praha 2,Entire home/apt,4,1.0,2.0,0,486
652633,Praha 2,Entire home/apt,6,1.0,1.0,0,129
659531,Praha 1,Entire home/apt,6,1.0,7.0,0,200
659540,Praha 1,Entire home/apt,12,1.0,12.0,0,107
660960,Praha 2,Entire home/apt,3,1.0,2.0,0,287
661323,Praha 1,Entire home/apt,2,1.0,2.0,0,358
662810,Praha 1,Entire home/apt,3,1.0,2.0,0,684
662817,Praha 1,Entire home/apt,2,1.0,1.0,0,774
667478,Praha 2,Entire home/apt,3,1.0,1.0,0,270
668858,Praha 1,Entire home/apt,4,1.0,2.0,0,88
668880,Praha 1,Entire home/apt,4,1.0,2.0,0,102
668902,Praha 1,Entire home/apt,4,1.5,3.0,0,102
668908,Praha 1,Entire home/apt,4,1.5,3.0,0,102
673821,Praha 2,Entire home/apt,4,1.0,1.0,0,393
679022,Praha 8,Entire home/apt,4,1.0,3.0,0,454
679276,Praha 5,Entire home/apt,5,1.0,2.0,0,404
681166,Praha 2,Entire home/apt,3,1.0,1.0,0,347
690105,Praha 1,Entire home/apt,4,1.0,2.0,0,468
691240,Praha 2,Entire home/apt,4,1.0,2.0,0,423
691380,Praha 9,Entire home/apt,3,1.0,2.0,0,501
692045,Praha 5,Entire home/apt,3,1.0,2.0,0,158
695142,Praha 7,Entire home/apt,4,1.5,1.0,0,1303
696261,Praha 1,Entire home/apt,4,1.0,4.0,0,99
696837,Praha 1,Entire home/apt,4,1.0,2.0,0,1126
699944,Praha 10,Entire home/apt,4,1.5,3.0,0,377
701644,Praha 2,Entire home/apt,3,1.0,1.0,0,215
701691,Praha 1,Entire home/apt,9,1.0,9.0,0,163
706726,Praha 2,Entire home/apt,2,1.0,1.0,0,351
707963,Praha 1,Entire home/apt,4,1.0,2.0,0,635
708571,Praha 2,Entire home/apt,2,1.0,2.0,0,463
711288,Praha 2,Entire home/apt,6,1.0,1.0,0,266
733462,Praha 1,Private room,2,1.5,1.0,1,1115
735375,Praha 1,Entire home/apt,2,1.0,1.0,0,349
747785,Praha 2,Entire home/apt,4,1.0,2.0,0,494
747830,Praha 2,Entire home/apt,6,1.0,1.0,0,345
757660,Praha 6,Private room,2,1.0,1.0,0,96
777881,Praha 3,Entire home/apt,5,2.0,5.0,0,213
780659,Praha 3,Entire home/apt,4,2.0,3.0,0,184
780866,Praha 3,Entire home/apt,3,1.0,4.0,0,653
782440,Praha 3,Private room,2,1.0,2.0,0,516
782489,Praha 3,Private room,2,1.0,3.0,0,526
782770,Praha 3,Private room,2,1.0,1.0,0,540
790196,Praha 1,Entire home/apt,4,1.5,2.0,0,1060
797201,Praha 1,Entire home/apt,2,1.0,1.0,0,937
814677,Praha 1,Entire home/apt,6,1.0,3.0,0,517
814687,Praha 1,Entire home/apt,6,1.0,2.0,0,519
814691,Praha 1,Entire home/apt,8,2.0,4.0,0,522
814705,Praha 1,Entire home/apt,14,3.0,6.0,0,522
818015,Praha 1,Private room,3,1.0,2.0,1,169
818081,Praha 1,Private room,3,1.0,2.0,1,278
820954,Praha 1,Entire home/apt,5,1.5,4.0,0,790
822456,Praha 2,Entire home/apt,9,1.0,9.0,0,324
822938,Praha 1,Entire home/apt,4,1.0,2.0,0,503
823030,Praha 1,Entire home/apt,4,1.0,2.0,0,478
843670,Praha 1,Entire home/apt,6,1.5,5.0,0,680
847192,Praha 2,Entire home/apt,6,1.0,2.0,0,153
855669,Praha 1,Entire home/apt,4,1.0,2.0,0,370
874150,Praha 1,Private room,2,1.0,2.0,0,282
874212,Praha 7,Entire home/apt,3,1.0,4.0,0,633
874482,Praha 7,Entire home/apt,5,1.5,6.0,0,812
876329,Praha 1,Private room,6,1.5,4.0,0,258
882759,Praha 2,Entire home/apt,6,1.0,1.0,0,345
899174,Praha 10,Entire home/apt,5,1.0,3.0,0,391
906369,Praha 10,Entire home/apt,5,1.0,2.0,0,540
933489,Praha 2,Entire home/apt,6,1.0,4.0,0,319
933583,Praha 2,Entire home/apt,4,1.0,1.0,0,358
933836,Praha 2,Entire home/apt,2,1.0,1.0,0,356
935534,Praha 4,Entire home/apt,2,1.0,2.0,0,415
939413,Praha 2,Entire home/apt,3,1.0,1.0,0,233
962877,Praha 1,Entire home/apt,2,1.5,1.0,0,722
976660,Praha 7,Entire home/apt,4,1.0,2.0,0,360
977301,Praha 2,Entire home/apt,3,1.0,1.0,0,358
987875,Praha 14,Private room,2,1.0,1.0,1,185
991924,Praha 1,Private room,3,1.0,2.0,0,187
993197,Praha 5,Entire home/apt,2,1.0,3.0,0,461
994758,Praha 5,Entire home/apt,4,1.0,2.0,0,265
995953,Praha 2,Entire home/apt,4,1.5,2.0,0,227
1000103,Praha 7,Entire home/apt,4,1.0,2.0,0,338
1000340,Praha 1,Entire home/apt,3,1.5,3.0,0,546
1015821,Praha 1,Entire home/apt,5,1.0,5.0,0,282
1020234,Praha 1,Entire home/apt,4,1.0,2.0,0,447
1043941,Praha 4,Entire home/apt,8,1.0,6.0,0,1108
1064766,Praha 7,Entire home/apt,2,1.0,1.0,0,483
1072946,Praha 9,Entire home/apt,4,1.5,2.0,0,576
1073417,Praha 1,Entire home/apt,8,2.0,6.0,0,535
1074074,Praha 2,Entire home/apt,5,1.5,3.0,0,561
1081430,Praha 1,Entire home/apt,9,2.0,4.0,0,603
1101093,Praha 7,Entire home/apt,3,1.5,2.0,0,824
1103679,Praha 3,Entire home/apt,4,1.0,2.0,0,192
1111076,Praha 1,Entire home/apt,4,1.5,2.0,0,542
1116016,Praha 8,Entire home/apt,4,1.0,4.0,0,337
1143098,Praha 1,Entire home/apt,4,1.5,1.0,0,522
1151056,Praha 1,Entire home/apt,4,1.0,2.0,0,1158
1153832,Praha 1,Entire home/apt,7,2.5,5.0,0,633
1165444,Praha 2,Entire home/apt,4,1.0,1.0,0,139
1167382,Praha 1,Entire home/apt,4,1.0,4.0,0,760
1169103,Praha 2,Entire home/apt,4,1.0,4.0,0,462
1184697,Praha 4,Entire home/apt,5,1.5,3.0,0,549
1200137,Praha 3,Entire home/apt,4,1.0,2.0,0,339
1201907,Praha 2,Entire home/apt,6,1.0,1.0,0,358
1202743,Praha 2,Entire home/apt,6,1.0,1.0,0,139
1210507,Praha 2,Entire home/apt,4,1.0,2.0,0,594
1221884,Praha 2,Entire home/apt,3,1.0,3.0,0,170
1231557,Praha 10,Entire home/apt,5,1.0,5.0,0,145
1238371,Praha 5,Entire home/apt,4,1.0,2.0,0,102
1247895,Praha 7,Entire home/apt,5,1.0,3.0,0,955
1252184,Praha 1,Entire home/apt,3,1.0,2.0,0,814
1261171,Praha 7,Private room,1,1.5,1.0,0,948
1287418,Praha 2,Entire home/apt,3,1.5,1.0,0,295
1310891,Praha 1,Entire home/apt,5,2.0,2.0,0,361
1353879,Praha 1,Entire home/apt,5,1.0,4.0,0,624
1358534,Praha 1,Entire home/apt,2,1.0,1.0,0,385
1362150,Praha 10,Entire home/apt,2,1.5,1.0,0,537
1379714,Praha 2,Entire home/apt,16,2.0,16.0,0,229
1394492,Praha 2,Entire home/apt,3,1.5,3.0,0,361
1400880,Praha 10,Entire home/apt,3,1.0,1.0,0,280
1400957,Praha 7,Entire home/apt,3,1.0,1.0,0,923
1404051,Praha 1,Entire home/apt,3,1.5,1.0,0,339
1439689,Praha 1,Private room,3,1.5,2.0,1,370
1449549,Praha 3,Entire home/apt,4,1.0,2.0,0,730
1460047,Praha 1,Entire home/apt,8,1.0,4.0,0,778
1465124,Praha 1,Entire home/apt,4,1.0,2.0,0,479
1474207,Praha 2,Entire home/apt,4,1.0,3.0,0,485
1474923,Praha 2,Private room,2,1.0,1.0,1,201
1475688,Praha 1,Entire home/apt,2,1.0,1.0,0,497
1488818,Praha 7,Entire home/apt,4,1.0,2.0,0,412
1498631,Praha 2,Entire home/apt,4,1.0,1.0,0,517
1498761,Praha 5,Entire home/apt,3,1.0,2.0,0,859
1508028,Praha 8,Entire home/apt,4,1.0,2.0,0,708
1509112,Praha 1,Private room,3,1.5,2.0,1,225
1512029,Praha 6,Entire home/apt,6,2.0,5.0,0,617
1514911,Praha 8,Entire home/apt,6,1.0,2.0,0,519
1523714,Praha 1,Entire home/apt,6,1.0,5.0,0,470
