iter	R2	RMSE
0	0.04031487276	25312.18627
1	0.06859167451	24936.49058
2	0.09338972303	24602.29345
3	0.1095690049	24381.7801
4	0.1123653594	24343.46511
5	0.1193705708	24247.21553
6	0.1201647432	24236.27971
7	0.1260605206	24154.93954
8	0.1381289072	23987.57982
9	0.1427596793	23923.05125
10	0.1440822091	23904.59017
11	0.147610058	23855.27535
12	0.1503548793	23816.83563
13	0.1531602742	23777.48339
14	0.1664348328	23590.38641
15	0.1671038319	23580.91797
16	0.1698363247	23542.20509
17	0.1722790169	23507.54402
18	0.1750214559	23468.56863
19	0.1772755467	23436.48509
20	0.1971045069	23152.33435
21	0.2019660848	23082.13357
22	0.2128187574	22924.64631
23	0.2142374874	22903.97855
24	0.2172925547	22859.40952
25	0.2176151893	22854.69767
26	0.2196764281	22824.5718
27	0.2248990323	22748.06262
28	0.2297006084	22677.49359
29	0.2314373826	22651.91399
30	0.2321571886	22641.30405
31	0.2334822085	22621.76025
32	0.2355496013	22591.23282
33	0.2401992558	22522.42414
34	0.2457316649	22440.277
35	0.2459483425	22437.05358
36	0.2465327429	22428.35738
37	0.2600586771	22226.13339
38	0.2606819754	22216.77019
39	0.2623369584	22191.88985
40	0.2666125549	22127.48276
41	0.2704469322	22069.56228
42	0.2711110616	22059.51477
43	0.2725686993	22037.44634
44	0.2731630521	22028.44157
45	0.2885112253	21794.62002
46	0.2899517684	21772.54519
47	0.2899863931	21772.01432
48	0.290999629	21756.47373
49	0.2927995444	21728.83997
50	0.2929791592	21726.08045
51	0.2930470077	21725.03796
52	0.2940405106	21709.76716
53	0.2940820231	21709.12885
54	0.2945653068	21701.69636
55	0.2955572261	21686.4335
56	0.2958451066	21682.00181
57	0.2999726969	21618.36102
58	0.30014555	21615.69181
59	0.3005345528	21609.68361
60	0.3005494475	21609.45353
61	0.3007761042	21605.95197
62	0.3007975413	21605.62077
63	0.3019077831	21588.46051
64	0.3044139583	21549.67401
65	0.3055075007	21532.72804
66	0.3059407174	21526.01106
67	0.3067117429	21514.05119
68	0.3068297554	21512.22003
69	0.3069593693	21510.20869
70	0.3071059722	21507.93348
71	0.3076702948	21499.1732
72	0.3081810016	21491.24215
73	0.3088031161	21481.57704
74	0.3092260478	21475.00393
75	0.3093327899	21473.34465
76	0.3119494709	21432.62879
77	0.3193624577	21316.85964
78	0.3194453991	21315.56078
79	0.3198466818	21309.27559
80	0.3202194764	21303.43494
81	0.32062663	21297.05416
82	0.3246370443	21234.10171
83	0.325516694	21220.26866
84	0.3560766082	20733.96574
85	0.3836140881	20285.77609
86	0.383767058	20283.25875
87	0.3852157633	20259.40271
88	0.3869631477	20230.59085
89	0.388016037	20213.21039
90	0.4130916452	19794.76824
91	0.4151464329	19760.08676
92	0.4380077306	19370.03682
