iter	Passed	Remaining
0	97	18400
1	206	19373
2	293	18272
3	370	17250
4	448	16584
5	573	17594
6	677	17701
7	785	17870
8	1089	21919
9	1720	30972
10	5756	93667
11	8420	124903
12	9467	128901
13	9769	122810
14	10554	123132
15	11477	124821
16	12685	129097
17	13786	131739
18	14004	126043
19	14566	123813
20	15010	120800
21	16585	126653
22	17149	124522
23	17397	120335
24	17566	115937
25	17902	112921
26	19393	117081
27	19815	114646
28	19955	110787
29	20175	107603
30	20718	106267
31	20967	103527
32	21267	101180
33	21798	100016
34	22172	98193
35	22312	95447
36	22483	92971
37	22641	90566
38	22767	88150
39	22853	85701
40	22933	83343
41	23012	81090
42	23119	79035
43	23222	77056
44	23375	75320
45	23501	73570
46	23717	72161
47	23783	70358
48	23880	68717
49	24218	67812
50	24317	66277
51	24381	64703
52	24456	63217
53	24612	61986
54	24690	60603
55	24806	59358
56	24933	58177
57	25039	56986
58	25239	56040
59	25349	54923
60	25419	53756
61	25506	52658
62	25588	51584
63	25703	50603
64	25908	49824
65	26047	48938
66	26147	48002
67	26241	47080
68	26351	46210
69	26428	45305
70	26618	44613
71	26787	43902
72	26891	43100
73	27073	42439
74	27230	41754
75	27319	40979
76	27409	40224
77	27512	39505
78	27653	38855
79	27754	38162
80	27879	37516
81	28011	36892
82	28502	36744
83	28736	36262
84	28977	35796
85	29154	35256
86	29237	34614
87	29410	34089
88	29538	33520
89	29662	32958
90	29763	32380
91	29854	31801
92	29952	31240
93	30067	30707
94	30270	30270
95	30445	29810
96	30551	29291
97	30645	28768
98	30780	28293
99	30880	27792
100	30988	27306
101	31110	26840
102	31212	26363
103	31338	25914
104	31490	25492
105	31579	25025
106	31682	24576
107	31806	24149
108	31911	23713
109	32002	23274
110	32126	22864
111	32228	22444
112	32312	22018
113	32389	21593
114	32506	21199
115	32684	20850
116	32803	20467
117	32976	20121
118	33082	19738
119	33438	19505
120	33920	19342
121	34260	19095
122	34510	18798
123	35039	18650
124	35126	18265
125	35202	17880
126	35406	17563
127	35532	17211
128	35643	16854
129	35822	16533
130	35901	16169
131	35981	15809
132	36061	15455
133	36183	15121
134	36269	14776
135	36371	14441
136	36458	14104
137	36538	13768
138	36621	13436
139	36812	13147
140	36897	12822
141	36982	12501
142	37074	12185
143	37170	11873
144	37279	11569
145	37390	11268
146	37489	10966
147	37576	10663
148	37651	10360
149	37746	10065
150	37894	9787
151	38034	9508
152	38212	9240
153	38324	8958
154	38440	8680
155	38519	8395
156	38599	8113
157	38708	7839
158	38795	7563
159	38904	7294
160	38989	7022
161	39093	6756
162	39179	6489
163	39270	6225
164	39353	5962
165	39426	5700
166	39517	5442
167	39608	5186
168	39684	4931
169	39769	4678
170	39908	4434
171	39986	4184
172	40070	3937
173	40164	3693
174	40245	3449
175	40363	3210
176	40471	2972
177	40577	2735
178	40680	2499
179	40784	2265
180	40915	2034
181	41044	1804
182	41127	1573
183	41205	1343
184	41281	1115
185	41374	889
186	41485	665
187	41707	443
188	41783	221
189	41853	0
