iter	R2	RMSE
0	0.02271891309	25543.18345
1	0.04908053377	25196.32169
2	0.05501897516	25117.52363
3	0.05777986687	25080.80465
4	0.07521835446	24847.62456
5	0.09723468413	24550.06849
6	0.1099650364	24376.35743
7	0.1251783412	24167.12781
8	0.1295344958	24106.88289
9	0.1298110377	24103.05327
10	0.1366484265	24008.17334
11	0.1372157433	24000.28404
12	0.1376174343	23994.69641
13	0.1388101436	23978.09787
14	0.138962042	23975.98312
15	0.1423847425	23928.28236
16	0.1430862474	23918.49403
17	0.1434223933	23913.80226
18	0.1443138199	23901.35566
19	0.1464241321	23871.86444
20	0.1492851606	23831.82383
21	0.1497618864	23825.14542
22	0.1525410396	23786.1752
23	0.1573647684	23718.38325
24	0.15994295	23682.0703
25	0.1816245048	23374.45986
26	0.1823413211	23364.22075
27	0.2026947804	23071.59286
28	0.2043894841	23047.06002
29	0.2046895942	23042.71285
30	0.2060248079	23023.362
31	0.2072423589	23005.70221
32	0.2074853227	23002.17655
33	0.2166385125	22868.95836
34	0.219883993	22821.53594
35	0.2210207358	22804.90273
36	0.2354743022	22592.34542
37	0.2395875511	22531.48856
38	0.2425648996	22487.33496
39	0.2433739918	22475.32127
40	0.2445062316	22458.49857
41	0.245794321	22439.34494
42	0.2458821061	22438.039
43	0.2557466987	22290.80026
44	0.2655990012	22142.76775
45	0.2722103803	22042.87328
46	0.273871823	22017.6985
47	0.274188457	22012.89748
48	0.2792592389	21935.86767
49	0.2792886137	21935.42065
50	0.2818991736	21895.65739
51	0.2825048265	21886.42194
52	0.282607847	21884.85062
53	0.2838843559	21865.37128
54	0.2839363489	21864.57751
55	0.2840548562	21862.76816
56	0.2903199355	21766.89982
57	0.29171774	21745.45292
58	0.2934302094	21719.14917
59	0.2999839193	21618.18773
60	0.3017870173	21590.32777
61	0.3035578586	21562.93117
62	0.3176281592	21344.00057
63	0.3178319821	21340.81263
64	0.3213587111	21285.57639
65	0.3213940297	21285.0225
66	0.3254518225	21221.28911
67	0.3257514885	21216.57484
68	0.3265310111	21204.30668
69	0.326643957	21202.52854
70	0.3267926326	21200.18768
71	0.3547445007	20755.40121
72	0.3548761196	20753.28426
73	0.3801316587	20343.00021
74	0.3837424549	20283.66365
75	0.3838748815	20281.48417
76	0.3841321181	20277.2499
77	0.3931619765	20128.0484
78	0.41598207	19745.96513
79	0.4198131777	19681.09265
80	0.4326740013	19461.73787
81	0.4327578955	19460.29885
82	0.4330031965	19456.09064
83	0.434634388	19428.08389
84	0.4412795617	19313.56985
85	0.4447854557	19252.8795
86	0.4553800031	19068.304
87	0.4588833064	19006.87601
88	0.4590109191	19004.63466
89	0.4676227139	18852.76415
90	0.4679427345	18847.09695
91	0.4681601526	18843.24575
92	0.4682916666	18840.91581
93	0.4711682742	18789.88086
94	0.4716980083	18780.46753
95	0.4717884121	18778.86059
96	0.4718507809	18777.75189
97	0.4718944797	18776.97505
98	0.4719253787	18776.42573
99	0.471977438	18775.50018
100	0.4778202849	18671.33082
101	0.4792715374	18645.3669
102	0.4858381413	18527.43097
103	0.4887236714	18475.36889
104	0.4960766785	18342.03444
105	0.4962041585	18339.71425
106	0.4964207855	18335.77088
107	0.4964936864	18334.44364
