iter	Passed	Remaining
0	125	23774
1	226	21329
2	332	20739
3	522	24307
4	716	26522
5	854	26216
6	964	25213
7	1077	24507
8	1222	24591
9	1431	25758
10	1577	25668
11	1691	25093
12	1994	27159
13	2430	30551
14	2774	32372
15	2916	31718
16	3029	30825
17	3153	30130
18	3279	29513
19	3385	28776
20	3522	28345
21	3680	28102
22	3838	27871
23	3963	27415
24	4092	27011
25	4206	26532
26	4778	28847
27	4966	28736
28	5085	28233
29	5173	27589
30	5298	27176
31	5460	26959
32	5549	26401
33	5650	25926
34	5736	25403
35	5826	24922
36	5926	24507
37	6051	24206
38	6141	23779
39	6280	23552
40	6449	23439
41	6541	23050
42	6637	22691
43	6730	22332
44	6837	22033
45	6926	21681
46	7072	21517
47	7173	21222
48	7318	21060
49	7457	20880
50	7564	20615
51	7651	20305
52	7736	19997
53	7827	19713
54	7933	19472
55	8001	19146
56	8120	18948
57	8206	18676
58	8286	18398
59	8352	18097
60	8423	17812
61	8679	17919
62	8820	17780
63	8899	17520
64	8991	17291
65	9098	17093
66	9256	16994
67	9485	17017
68	10163	17823
69	10344	17732
70	10951	18355
71	11115	18217
72	11334	18165
73	17015	26672
74	17089	26203
75	17185	25778
76	17281	25360
77	17364	24933
78	17456	24527
79	17587	24183
80	17691	23807
81	17815	23463
82	17920	23102
83	18067	22798
84	18189	22469
85	18284	22111
86	18369	21747
87	18452	21388
88	18562	21064
89	18644	20716
90	18724	20370
91	18801	20027
92	18905	19719
93	18982	19386
94	19073	19073
95	19161	18762
96	19270	18475
97	19357	18172
98	19471	17898
99	19552	17597
100	19640	17306
101	19756	17044
102	19881	16793
103	19983	16525
104	20090	16263
105	20196	16004
106	20319	15762
107	20490	15557
108	20591	15301
109	20696	15051
110	20771	14783
111	20862	14529
112	20942	14270
113	21024	14016
114	21100	13761
115	21329	13606
116	21448	13382
117	21539	13142
118	21659	12922
119	21805	12719
120	21920	12499
121	22005	12265
122	22085	12030
123	22184	11807
124	22268	11579
125	22351	11353
126	22451	11137
127	22607	10950
128	22742	10754
129	22918	10577
130	23013	10364
131	23133	10164
132	23234	9957
133	23317	9744
134	23407	9536
135	23620	9378
136	24237	9376
137	24582	9262
138	24829	9109
139	25284	9030
140	25373	8817
141	25444	8600
142	25514	8385
143	25582	8172
144	25673	7967
145	25764	7764
146	25836	7557
147	25905	7351
148	25993	7152
149	26108	6962
150	26174	6760
151	26271	6567
152	26347	6371
153	26438	6180
154	26500	5983
155	26626	5803
156	26691	5610
157	26778	5423
158	26958	5256
159	27074	5076
160	27147	4889
161	27213	4703
162	27270	4517
163	27336	4333
164	27428	4155
165	27524	3979
166	27587	3799
167	27655	3621
168	27729	3445
169	27862	3277
170	27930	3103
171	27990	2929
172	28068	2758
173	28178	2591
174	28247	2421
175	28306	2251
176	28387	2084
177	28463	1918
178	28561	1755
179	28634	1590
180	28697	1426
181	28848	1268
182	28911	1105
183	29002	945
184	29073	785
185	29132	626
186	29234	469
187	29311	311
188	29424	155
189	29507	0
