iter	R2	RMSE
0	0.01683278229	25619.99084
1	0.09806801346	24538.73497
2	0.1062878878	24426.66056
3	0.1931134086	23209.80677
4	0.2198069401	22822.66297
5	0.2886410143	21792.63206
6	0.3259625147	21213.2544
7	0.3466082753	20885.84691
8	0.3635504702	20613.2875
9	0.3685803389	20531.67239
10	0.3838643842	20281.65694
11	0.4145681493	19769.8534
12	0.4328518131	19458.68777
13	0.44552116	19240.11946
14	0.4842141341	18556.66784
15	0.515327937	17988.26468
16	0.5169789566	17957.60032
17	0.5333257213	17651.11758
18	0.5337148761	17643.75651
19	0.5460378188	17409.0516
20	0.5507599254	17318.27058
21	0.5570002102	17197.56801
22	0.5687617812	16967.73596
23	0.5720691037	16902.54486
24	0.5797526476	16750.11405
25	0.6040419251	16258.85199
26	0.6238085715	15847.82707
27	0.6249316156	15824.15413
28	0.6336560422	15639.02925
29	0.6360482768	15587.88401
30	0.6402073255	15498.56303
31	0.644449111	15406.93179
32	0.6466327544	15359.54749
33	0.6517418116	15248.10745
34	0.658613041	15096.93339
35	0.6619722342	15022.47407
36	0.6709596992	14821.42028
37	0.6859016162	14480.98576
38	0.6908074637	14367.45271
39	0.7069684229	13986.93275
40	0.7079485883	13963.52061
41	0.7097308284	13920.84931
42	0.7234810605	13587.12957
43	0.725051498	13548.49185
44	0.7273836263	13490.90996
45	0.7286979618	13458.34954
46	0.7299008532	13428.48077
47	0.7343146227	13318.30946
48	0.7373508049	13241.99174
49	0.7387048723	13207.81361
50	0.7398938915	13177.72837
51	0.7412218956	13144.04506
52	0.7421236416	13121.124
53	0.7429075271	13101.16621
54	0.7462494361	13015.73757
55	0.7588447147	12688.59886
56	0.7611021152	12629.07167
57	0.7617188572	12612.75944
58	0.7636441927	12561.69991
59	0.7642041468	12546.81103
60	0.7659299122	12500.81231
61	0.7677014326	12453.4173
62	0.768265629	12438.28496
63	0.7717217985	12345.18199
64	0.7796251156	12129.59567
65	0.7803686929	12109.11486
66	0.7807783435	12097.81678
67	0.7823489838	12054.40074
68	0.7837007822	12016.90838
69	0.7848759215	11984.22039
70	0.7873792722	11914.2875
71	0.7903426609	11830.96884
72	0.7918892929	11787.24981
73	0.7928055213	11761.27391
74	0.7932214338	11749.46347
75	0.7935458448	11740.24309
76	0.7938597424	11731.31463
77	0.7964026394	11658.73275
78	0.7999851858	11555.70262
79	0.8007846054	11532.58658
80	0.8103008228	11253.76907
81	0.8185933524	11005.04631
82	0.822635968	10881.73266
83	0.8289108314	10687.50999
84	0.8304118656	10640.52378
85	0.8313037479	10612.50707
86	0.8337018656	10536.80551
87	0.8339583597	10528.67653
88	0.8385122511	10383.29196
89	0.8387429643	10375.87215
90	0.8426243522	10250.24016
91	0.8477119349	10083.19601
92	0.8512927252	9963.946407
93	0.8521256748	9936.001843
94	0.8539040688	9876.074012
95	0.8543548671	9860.825277
96	0.8546609547	9850.458078
97	0.8553558569	9826.881117
98	0.8583167309	9725.782654
99	0.8585205572	9718.784356
100	0.8602362977	9659.674086
101	0.8604210655	9653.286923
102	0.8629129709	9566.728693
103	0.8630839858	9560.759626
104	0.864303813	9518.074454
105	0.8646865433	9504.64214
106	0.8653267219	9482.131879
107	0.8656552572	9470.558991
108	0.8663332011	9446.633129
109	0.8666905654	9433.996672
110	0.8700174032	9315.536676
111	0.8706866092	9291.525549
112	0.8713103576	9269.089433
113	0.8752687059	9125.42268
114	0.8784007389	9010.123493
115	0.8785946633	9002.936032
116	0.8814843926	8895.145348
117	0.8817302052	8885.91587
118	0.8819448885	8877.847352
119	0.8821855341	8868.794356
120	0.8825872631	8853.660842
121	0.882877826	8842.698916
122	0.8855237632	8742.244483
123	0.885699612	8735.527352
124	0.8862217779	8715.55097
125	0.886715788	8696.609501
126	0.8890847528	8605.198667
127	0.8895929547	8585.461979
128	0.8897932513	8577.670723
129	0.8909652124	8531.940469
130	0.8912339512	8521.419615
131	0.8914151253	8514.319496
132	0.8932229504	8443.144726
133	0.893654372	8426.070638
134	0.8945285188	8391.368595
135	0.896670605	8305.718712
136	0.8968090275	8300.153579
137	0.8969437342	8294.73425
138	0.8973957145	8276.524894
139	0.898932367	8214.31443
140	0.8990524726	8209.43216
141	0.8995389825	8189.625861
142	0.8998746129	8175.934049
143	0.9000127937	8170.290391
144	0.9002859568	8159.122222
145	0.9005977165	8146.357332
146	0.9015816455	8105.938891
147	0.9034290296	8029.501311
148	0.9038959662	8010.065803
149	0.9043743553	7990.10458
150	0.9045661176	7982.089103
151	0.9046822384	7977.231454
152	0.9058706841	7927.344409
153	0.9064152309	7904.380937
154	0.9067895604	7888.556741
155	0.9071733356	7872.300218
156	0.9081907071	7829.041528
157	0.908545497	7813.899522
158	0.9086351776	7810.067415
159	0.9110059857	7708.070429
160	0.9125581462	7640.555831
161	0.9131329601	7615.401177
162	0.9139096339	7581.280281
163	0.9139849507	7577.963287
164	0.9140656261	7574.408684
165	0.9148172742	7541.210127
166	0.9154788713	7511.867512
167	0.9159876136	7489.225995
168	0.9163665458	7472.317084
169	0.9169941213	7444.2286
170	0.9175304984	7420.137625
171	0.9193969803	7335.689351
172	0.9200829192	7304.408974
173	0.9201622755	7300.781496
174	0.9205008706	7285.283588
175	0.9206827552	7276.944884
176	0.9207443394	7274.11932
177	0.921002816	7262.248083
178	0.9219594775	7218.140972
179	0.9220298876	7214.884046
180	0.9220752045	7212.787063
181	0.9233946178	7151.46335
182	0.9234583763	7148.486656
183	0.9237886942	7133.045217
184	0.9244197641	7103.45113
185	0.9249961974	7076.31108
186	0.9251071523	7071.075064
187	0.9253535784	7059.432212
188	0.9254777721	7053.557168
189	0.9264775948	7006.08059
