iter	Passed	Remaining
0	72	13677
1	172	16234
2	230	14347
3	298	13872
4	418	15483
5	486	14933
6	546	14287
7	1047	23836
8	1209	24324
9	1318	23735
10	1393	22680
11	1453	21564
12	1510	20563
13	1593	20031
14	1667	19454
15	1769	19241
16	1858	18911
17	1930	18446
18	2017	18157
19	2083	17712
20	2147	17278
21	2221	16964
22	2305	16742
23	2397	16581
24	2467	16287
25	2530	15961
26	2593	15659
27	2722	15751
28	2817	15642
29	2860	15257
30	2925	15007
31	2992	14774
32	3064	14580
33	3106	14252
34	3214	14235
35	3278	14024
36	3337	13802
37	3418	13673
38	3494	13529
39	3572	13395
40	3644	13244
41	3713	13085
42	3820	13060
43	4082	13546
44	4154	13388
45	4222	13218
46	4296	13073
47	4381	12963
48	4458	12828
49	4521	12660
50	4590	12510
51	4658	12362
52	4731	12230
53	4777	12032
54	5262	12917
55	5430	12994
56	5496	12824
57	5557	12647
58	5615	12469
59	5673	12293
60	5712	12080
61	5770	11912
62	5830	11753
63	5899	11614
64	6009	11556
65	6070	11404
66	6132	11258
67	6195	11114
68	6251	10963
69	6309	10815
70	6386	10704
71	6460	10587
72	6552	10501
73	6634	10399
74	6692	10262
75	6752	10128
76	6810	9994
77	6869	9863
78	6927	9733
79	6996	9620
80	7072	9517
81	7132	9394
82	7189	9268
83	7247	9146
84	7317	9039
85	7381	8926
86	7447	8817
87	7507	8701
88	7568	8588
89	7624	8471
90	7690	8366
91	7747	8252
92	7805	8141
93	7875	8043
94	7947	7947
95	8007	7840
96	8066	7733
97	8142	7643
98	8241	7575
99	8348	7513
100	8545	7530
101	8639	7454
102	8796	7430
103	9111	7534
104	9281	7513
105	9649	7646
106	9972	7736
107	10079	7652
108	10912	8109
109	10992	7994
110	11053	7866
111	11123	7746
112	11184	7621
113	11262	7508
114	11323	7384
115	11382	7261
116	11441	7138
117	11501	7017
118	11559	6896
119	11630	6784
120	11719	6683
121	11853	6606
122	11943	6505
123	12016	6395
124	12108	6296
125	12169	6181
126	12228	6066
127	12314	5964
128	12373	5851
129	12451	5746
130	12525	5641
131	12591	5532
132	12666	5428
133	12745	5326
134	12824	5224
135	12901	5122
136	12964	5015
137	13035	4912
138	13093	4804
139	13161	4700
140	13223	4595
141	13282	4489
142	13341	4384
143	13410	4284
144	13469	4180
145	13526	4076
146	13599	3977
147	13655	3875
148	13714	3773
149	13774	3673
150	13870	3582
151	13951	3487
152	14008	3387
153	14085	3292
154	14142	3193
155	14225	3100
156	14283	3002
157	14365	2909
158	14455	2818
159	14530	2724
160	14612	2632
161	14687	2538
162	14762	2445
163	14819	2349
164	14907	2258
165	15001	2168
166	15116	2081
167	15201	1990
168	15279	1898
169	15337	1804
170	15397	1710
171	15456	1617
172	15516	1524
173	15593	1433
174	15656	1341
175	15715	1250
176	15773	1158
177	15836	1067
178	15896	976
179	15954	886
180	16026	796
181	16115	708
182	16181	618
183	16270	530
184	16427	443
185	16544	355
186	16633	266
187	16701	177
188	16781	88
189	16841	0
