iter	R2	RMSE
0	0.0149825217	25644.08714
1	0.03213853695	25419.78509
2	0.03279187093	25411.20411
3	0.03871515438	25333.27418
4	0.05437521237	25126.07776
5	0.08805079405	24674.62723
6	0.09625529545	24563.38178
7	0.1284650213	24121.68749
8	0.1336132586	24050.33745
9	0.1614202167	23661.23831
10	0.1757363676	23458.3977
11	0.1923872183	23220.24872
12	0.196032925	23167.77929
13	0.198797052	23127.91832
14	0.2060418093	23023.1155
15	0.2290711846	22686.75677
16	0.2293597035	22682.51113
17	0.2300594927	22672.21023
18	0.232131427	22641.68386
19	0.2338926366	22615.70309
20	0.2385378391	22547.035
21	0.2393231644	22535.40519
22	0.2425978468	22486.84587
23	0.2615347195	22203.95386
24	0.2622175692	22193.68563
25	0.2666468831	22126.96488
26	0.2758971316	21986.9713
27	0.2772573043	21966.31115
28	0.2788609591	21941.92769
29	0.3047628703	21544.26858
30	0.3061909864	21522.1297
31	0.3087020854	21483.14694
32	0.3122934771	21427.27026
33	0.3183062312	21333.39318
34	0.3200294271	21306.41268
35	0.3205387712	21298.43121
36	0.3208460135	21293.61525
37	0.3214177655	21284.65025
38	0.3223418155	21270.15327
39	0.3244286567	21237.37742
40	0.3248425045	21230.87153
41	0.3262700186	21208.41498
42	0.3275701179	21187.94212
43	0.3407511208	20979.25084
44	0.3478017061	20866.76402
45	0.3561026108	20733.5471
46	0.3640543015	20605.12685
47	0.369126666	20522.7881
48	0.371231402	20488.52517
49	0.3749668128	20427.57503
50	0.3765273101	20402.05871
51	0.378767656	20365.37001
52	0.3828530851	20298.29485
53	0.3833376567	20290.32437
54	0.3845217872	20270.83402
55	0.3857166128	20251.14861
56	0.3863649922	20240.45819
57	0.3882877169	20208.72323
58	0.4081678338	19877.62798
59	0.4225399069	19634.79014
60	0.4311621838	19487.65156
61	0.4463834158	19225.15373
62	0.4469895469	19214.62645
63	0.4514458561	19137.0515
64	0.4544420383	19084.71701
65	0.4685399968	18836.51555
66	0.4689096805	18829.96307
67	0.4703462944	18804.47804
68	0.4845672447	18550.31474
69	0.484971724	18543.03475
70	0.4854856197	18533.78131
71	0.4875529542	18496.50918
72	0.4879909229	18488.60337
73	0.5005528014	18260.39073
74	0.5023043812	18228.34268
75	0.5024182391	18226.25751
76	0.5036485598	18203.71044
77	0.507533992	18132.32126
78	0.5080620706	18122.59687
79	0.5082197326	18119.69257
80	0.5083267517	18117.7209
81	0.5101155088	18084.73382
82	0.5105319052	18077.04627
83	0.5116134103	18057.06414
84	0.5229946845	17845.42456
85	0.5260051192	17789.02319
86	0.5380960181	17560.6719
87	0.5394961336	17534.03689
88	0.5398440825	17527.41143
89	0.540104734	17522.4466
90	0.5403204712	17518.33622
91	0.5423437944	17479.73939
92	0.5470755095	17389.14295
93	0.5570086913	17197.40339
94	0.5679464156	16983.76929
95	0.5680081255	16982.55636
