listing_id,date,price,minimum_nights,maximum_nights,in_season,weekend,new_year,busy,neighbourhood_cleansed,room_type,accommodates,bathrooms_numeric,beds,bathrooms_shared,amenities_num,adjusted_price,host_response_time,host_is_superhost,ranking,Distance,Verification,reviews_per_month,instant_bookable,last_review,has_availability,availability_30,sentiment_score
645690890988181229,2024-09-14,9775.0,5,1125,0,1,0,0.0301369863013698,Praha 5,Entire home/apt,6,2.0,3.0,0,690,3733.0,0.0,t,4.93,5.973202765973969,Both,2.76,f,8.0,t,19,0.6995688300757181
10203116,2024-09-14,2333.0,2,1125,0,1,0,0.0465753424657534,Praha 2,Entire home/apt,3,1.0,3.0,0,911,2333.0,0.0,t,4.79,1.6796561374309336,Both,2.77,t,8.0,t,16,0.7036510945430824
15719668,2024-09-14,2900.0,2,1125,0,1,0,0.3452054794520548,Praha 7,Entire home/apt,2,1.0,1.0,0,867,2500.0,0.0,f,4.98,4.779680037529501,Both,3.39,f,9.0,t,16,0.7114699440873016
602687295112792598,2024-09-14,3688.0,3,1125,0,1,0,0.5534246575342465,Praha 7,Entire home/apt,2,1.0,1.0,0,256,2841.0,0.0,f,5.0,4.779680037529501,Both,0.75,t,7.0,t,10,0.6546948116559249
34186485,2024-09-14,15349.0,1,1125,0,1,0,0.0136986301369863,Praha 1,Entire home/apt,4,1.0,2.0,0,648,5059.0,0.0,f,4.71,488.051470834979,Both,0.41,t,23.0,t,25,0.6448787947495779
35187945,2024-09-14,1120.0,2,31,0,1,0,0.2410958904109589,Praha 3,Entire home/apt,5,1.5,2.0,0,546,1030.0,0.0,f,4.72,3.1742847596468065,Both,1.41,f,8.0,t,5,0.6655697161331773
47561754,2024-09-14,5403.0,1,99,0,1,0,0.1150684931506849,Praha 1,Private room,3,1.0,2.0,0,686,4470.0,0.0,f,0.0,488.051470834979,Both,0.0,t,0.0,t,11,
841369042959695012,2024-09-14,1768.0,1,365,0,1,0,0.9178082191780822,Praha 3,Entire home/apt,3,1.5,1.0,0,148,1768.0,0.0,f,3.63,3.1742847596468065,Both,1.43,t,9.0,t,15,0.6617648787796497
42054260,2024-09-14,3500.0,1,1125,0,1,0,0.7123287671232876,Praha 2,Entire home/apt,2,1.0,1.0,0,314,3500.0,0.0,f,4.67,1.6796561374309336,Both,1.32,t,10.0,t,0,0.6110048741102219
18144124,2024-09-14,14735.0,1,1100,0,1,0,0.958904109589041,Praha 1,Entire home/apt,16,5.0,8.0,0,601,14735.0,0.0,t,4.91,3.855206085764145,Both,0.31,t,45.0,t,0,0.6807816352533258
